数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
上海现代服务业集聚区基本情况, 经济建设, 现代服务业、集聚区, 服务业, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海主要展馆信息, 经济建设, 展馆, 综合类, 其他类, 2015-01-05, 上海市商务委员会, 世博村路300号
上海服务外包专业园区基本情况, 经济建设, 服务外包、专业园区, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海主要国际展览会信息, 经济建设, 国际展览会, 综合类, 其他类, 2015-01-05, 上海市商务委员会, 世博村路300号
上海电子商务示范企业基本情况, 经济建设, 电子商务、示范企业, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海市实施&ldquo;走出去&rdquo;战略先进企业情况, 经济建设, 走出去、先进企业, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海市展会项目基本情况, 经济建设, 展会、项目, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海外商投资环境白皮书, 经济建设, 外资、投资环境, 商贸综合类, 其他类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海开发区基本情况, 经济建设, 开发区、国家级、市级, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海全球贸促机构基本情况, 经济建设, 全球、贸促、机构, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海对外承包工程完成营业额、新签合同额, 经济建设, 对外承包工程, 对外贸易, 业务类, 2015-01-05, 上海市商务委员会, 世博村路300号
部分农贸市场及超市主要蔬菜品种价格, 民生服务, 蔬菜价格, 物价, 机构职能, 2014-12-02, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
清真网点, 民生服务, 清真、食品、副食、饮食, 综合类, 业务类, 2015-06-02, 上海市民族和宗教事务委员会, 上海市世博村路300号
宗教院校, 教育科技, 宗教、院校, 综合类, 业务类, 2015-06-02, 上海市民族和宗教事务委员会, 上海市世博村路300号
宗教教职人员, 教育科技, 宗教、教职人员, 综合类, 业务类, 2015-05-26, 上海市民族和宗教事务委员会, 上海市世博村路300号
最新上市楼盘相关信息, 民生服务, 最新上市楼盘, 房地产, 业务类, 2015-04-29, 上海市住房保障和房屋管理局, 上海市住房保障和房屋管理局
体育彩票公益金情况公告, 文化休闲, 体育彩票, 体育, 业务类, 2015-04-28, 上海市体育局, 上海泳耀路300号9楼
国家知识产权局专利局上海代办处服务时间, 教育科技, 国家知识产权局专利局上海代办处，服务时间, 知识产权, 机构职能, 2014-12-10, 上海市知识产权局, 上海市世博村路340号
上海市知识产权试点示范园区名录, 教育科技, 上海市，知识产权试点示范园区，名录, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
持有《上海公共安全防范工程设计施工单位核准证书》名单, 公共安全, 上海公共安全防范工程设计施工单位核准证书, 公安, 业务类, 2015-03-30, 上海市公安局, 上海市武宁南路128号
看守所信息, 公共安全, 上海市各看守所;位置信息, 公安, 业务类, 2012-11-20, 上海市公安局, 上海市静安区武宁南路128号
拘留所信息, 公共安全, 上海市各拘留所;位置信息, 公安, 业务类, 2012-11-20, 上海市公安局, 上海市静安区武宁南路128号
强制戒毒所信息, 公共安全, 上海市强制戒毒所;位置信息, 公安, 业务类, 2012-11-20, 上海市公安局, 上海市静安区武宁南路128号
社保卡受理网点, 机构团体, 社保卡, 公安, 业务类, 2013-06-28, 上海市公安局, 上海市静安区武宁南路128号
2015年烟花爆竹零售点, 公共安全, 烟花爆竹, 公安, 业务类, 2015-03-23, 上海市公安局, 上海市武宁南路128号
高架上匝道关闭时间, 道路交通, 高架上匝道关闭时间, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
上海市现制现售水经营单位, 卫生健康, 现制现售水, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市中小学生、婴幼儿住院医疗互助基金定点医疗机构, 卫生健康, 互助基金, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
本市经许可开展节育手术和终止妊娠技术的医疗机构, 卫生健康, 节育手术, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
本市经许可开展助产技术的医疗机构, 卫生健康, 助产技术, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
经批准本市开展产前诊断的医疗机构, 卫生健康, 产前诊断, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
经批准本市开展人类辅助生殖技术的服务机构, 卫生健康, 辅助生殖技术, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市妇幼保健所基本信息, 卫生健康, 妇幼保健, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海国家工程技术研究中心, 教育科技, 国家工程技术研究中心名称、联系人、电话、传真、email, 科技管理, 业务类, 2015-03-23, 上海市科学技术委员会, 上海淮海中路1634号一楼
居民委员会, 机构团体, 居民委员会，地址, 公安, 业务类, 2015-03-23, 上海市公安局, 上海市静安区武宁南路128号
网吧信息, 文化休闲, 网吧，网吧位置, 公安, 业务类, 2015-03-23, 上海市公安局, 上海市静安区武宁南路128号
市、区两级消防安全重点单位名单、分级等信息, 公共安全, 单位名称，单位地址, 公安, 业务类, 2015-03-23, 上海市公安局, 上海市静安区武宁南路128号
居住证受理网点, 机构团体, 居住证, 公安, 业务类, 2013-06-28, 上海市公安局, 上海市静安区武宁南路128号
保安培训机构, 公共安全, 单位名称，单位地址, 公安, 业务类, 2015-03-23, 上海市公安局, 上海市静安区武宁南路128号
保安从业单位, 公共安全, 单位名称，单位地址, 公安, 业务类, 2015-03-23, 上海市公安局, 上海市静安区武宁南路128号
上海市&ldquo;安全优质信得过果园&rdquo;名单, 民生服务, 果园名称, 林业, 业务类, 2015-01-21, 上海市绿化和市容管理局, 铜仁路331号
上海市高等教育机构名单, 教育科技, 高等，院系，联系方式, 教育, 2014-11-05, 上海市教育委员会, 上海市黄浦区大沽路100号
环境管理与服务机构, 机构团体, 环境管理，服务机构, 城乡建设与环境保护综合类, 机构职能, 2015-03-17, 上海市环境保护局, 三江路55号
体育设施对外开放学校名录, 教育科技, 体育，设施，开放，学校, 教育, 业务类, 2014-11-05, 上海市教育委员会, 上海市黄浦区大沽路100号
上海市基础教育机构名单, 教育科技, 中小学，联系方式, 教育, 业务类, 2014-11-05, 上海市教育委员会, 上海市黄浦区大沽路100号
市、区县卫生计生委, 机构团体, 卫生计生委, 医药卫生管理, 机构职能, 2015-03-10, 上海市卫生和计划生育委员会, 世博村路300号
计划生育药具免费发放点, 卫生健康, 计划生育, 计划生育, 机构职能, 2015-03-10, 上海市卫生和计划生育委员会, 世博村路300号
司法鉴定机构, 社会发展, 司法鉴定机构, 政法综合类, 其他类, 2015-03-10, 上海市司法局, 吴兴路225号
律师事务所, 社会发展, 律师事务所, 政法综合类, 其他类, 2015-03-10, 上海市司法局, 吴兴路225号
上海市医疗机构发热门诊基本信息, 卫生健康, 发热门诊, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
街道乡镇司法所, 机构团体, 法律服务、街道乡镇司法所, 政法综合类, 其他类, 2015-01-20, 上海市司法局, 吴兴路225号
二级医疗机构, 卫生健康, 医疗机构, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
三级医疗机构, 卫生健康, 医疗机构, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市荣誉市民获奖者名单, 社会发展, 荣誉市民, 综合类, 其他类, 2015-03-10, 上海市人民政府外事办公室, 上海市静安区南京西路1418号
上海市领事认证量, 社会发展, 领事认证, 对外事务综合类, 其他类, 2015-03-10, 上海市人民政府外事办公室, 上海市静安区南京西路1418号
社区生活服务中心, 民生服务, 社区生活服务中心, 民政, 业务类, 2015-03-10, 上海市民政局, 上海市浦东新区世博村路300号6号楼
上海市公务员管理机构概况信息, 机构团体, 上海市、公务员管理机构概况, 综合类, 其他类, 2015-03-06, 上海市公务员局, 高安路19号
超市商品价格信息, 民生服务, 超市价格, 物价, 机构职能, 2014-12-02, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
水闸泵站运行信息6, 资源环境, 水闸泵站工况, 水利, 机构职能, 2015-01-30, 上海市水务局, 江苏路389号
企业获证信息, 经济建设, 许可证，生产企业, 检验、检疫, 业务类, 2015-01-27, 上海市质量技术监督局, 宜山路728号
医疗器械经营企业信息, 卫生健康, 医疗器械、医疗器械经营、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
食品生产企业信息, 卫生健康, 食品、食品生产、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
保健食品生产企业信息, 卫生健康, 保健食品、保健食品生产、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
食药监机构信息, 卫生健康, 食药监机构, 医药卫生管理, 机构职能, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
大型科学仪器设施, 教育科技, 仪器、设施, 科技管理, 政策法规, 2015-01-21, 上海市科学技术委员会, 上海市钦州路100号2号楼4楼
技术创新服务平台, 教育科技, 技术创新平台，创新服务, 科技管理, 机构职能, 2015-01-21, 上海市科学技术委员会, 上海市钦州路100号2号楼4楼
专业技术平台, 教育科技, 专业技术，平台, 科技管理, 机构职能, 2015-01-21, 上海市科学技术委员会, 上海市钦州路100号2号楼4楼
医疗器械生产企业信息, 卫生健康, 医疗器械、医疗器械生产、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
化妆品生产企业信息, 卫生健康, 化妆品、化妆品生产、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
药品经营企业信息, 卫生健康, 药品、药品经营、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
药品生产企业信息, 卫生健康, 药品、药品生产、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
食品餐饮企业查询信息, 卫生健康, 食品、食品餐饮、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
食品流通企业信息, 卫生健康, 食品、食品流通、企业, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
招标代理机构资质, 城市建设, 招标代理机构资质, 城乡建设, 业务类, 2015-01-21, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
造价咨询企业资质, 城市建设, 造价咨询企业资质, 城乡建设, 业务类, 2015-01-21, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
施工企业资质, 城市建设, 施工企业资质, 城乡建设, 业务类, 2015-01-21, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
设计企业资质, 城市建设, 设计企业资质, 城乡建设, 业务类, 2015-01-21, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
计生事务受理机构, 机构团体, 计生, 计划生育, 机构职能, 2015-01-21, 上海市卫生和计划生育委员会, 世博村路300号
监理企业资质, 城市建设, 监理资质, 城乡建设, 业务类, 2015-01-21, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
人口计生综合服务站, 卫生健康, 计生, 计划生育, 机构职能, 2015-01-21, 上海市卫生和计划生育委员会, 世博村路300号
公共厕所, 民生服务, 公共厕所，地址, 综合类, 业务类, 2015-01-13, 上海市绿化和市容管理局, 铜仁路331号
公园绿地, 民生服务, 公园绿地, 综合类, 业务类, 2015-01-13, 上海市绿化和市容管理局, 铜仁路331号
古树名木, 民生服务, 古树名木, 综合类, 其他类, 2015-01-13, 上海市绿化和市容管理局, 铜仁路331号
绿化市容管理与服务机构, 机构团体, 机构名称，联系地址, 综合类, 业务类, 2015-01-12, 上海市绿化和市容管理局, http://lhsr.sh.gov.cn/
野生动植物重要栖息地, 民生服务, 野生动植物重要栖息地, 水资源, 业务类, 2015-01-13, 上海市绿化和市容管理局, 上海市铜仁路331号
科技管理与服务机构, 教育科技, 科技管理，服务机构, 科技管理, 机构职能, 2015-01-19, 上海市科学技术委员会, 人民大道200号8楼
上海市白蚁防治机构一览表, 民生服务, 白蚁防治, 房地产, 其他类, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
各区（县）房屋应急维修信息, 城市建设, 应急维修, 房地产, 业务类, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
房地产经纪企业基本信息, 城市建设, 房地产经纪企业, 房地产, 业务类, 2012-12-04, 上海市住房保障和房屋管理局, 世博村路300号
拆除施工企业信息, 城市建设, 拆除施工企业, 房地产, 业务类, 2012-12-18, 上海市住房保障和房屋管理局, 世博村路300号
房管行业岗位水平证书信息, 城市建设, 房管行业，岗位水平证书, 房地产, 业务类, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
保障房工程项目信息, 城市建设, 保障房工程, 房地产, 业务类, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
直属事业单位名录, 机构团体, 直属事业单位, 房地产, 业务类, 2012-12-14, 上海市住房保障和房屋管理局, 世博村路300号
上海市商品住宅维修资金专户年度归集和划转统计表, 城市建设, 维修资金, 房地产, 业务类, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
各区房地集团直管公房咨询、信访接待联系方式, 城市建设, 房地集团名称，信访接待, 房地产, 其他类, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
物业管理企业基本信息, 城市建设, 物业管理企业, 房地产, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
拆迁资质单位基本信息, 城市建设, 拆迁资质, 房地产, 2012-11-22, 上海市住房保障和房屋管理局, 世博村路300号
房地产开发企业基本信息, 城市建设, 开发企业、资质证书, 房地产, 2012-11-21, 上海市住房保障和房屋管理局, 世博村路300号
网上房地产一手房可售数据, 民生服务, 一手房, 房地产, 业务类, 2015-01-12, 上海市住房保障和房屋管理局, 世博村路300号
网上房地产二手房可售数据, 民生服务, 二手房, 房地产, 业务类, 2015-01-12, 上海市住房保障和房屋管理局, 世博村路300路
全市房管局系统业务受理处信息, 机构团体, 业务受理处, 房地产, 业务类, 2012-12-18, 上海市住房保障和房屋管理局, 世博村路300号
四高优秀小区信息, 城市建设, 四高优秀小区, 房地产, 业务类, 2012-12-14, 上海市住房保障和房屋管理局, 世博村路300号
房地产评估企业信息, 城市建设, 房地产评估企业, 房地产, 业务类, 2012-12-18, 上海市住房保障和房屋管理局, 世博村路300号
房地产交易中心名录, 机构团体, 房地产交易中心, 房地产, 业务类, 2012-12-14, 上海市住房保障和房屋管理局, 世博村路300号
房屋质量检测人员信息, 城市建设, 房屋质量检测人员, 房地产, 业务类, 2012-12-18, 上海市住房保障和房屋管理局, 世博村路300号
上海市房屋质量检测推荐单位信息, 城市建设, 房屋质量检测, 房地产, 业务类, 2012-12-14, 上海市住房保障和房屋管理局, 世博村路300号
拆房安全管理办事机构名录, 机构团体, 拆房安全管理办事机构, 房地产, 业务类, 2012-12-18, 上海市住房保障和房屋管理局, 世博村路300号
市筹公租房申请受理点信息, 机构团体, 公租房申请受理点, 房地产, 业务类, 2012-12-14, 上海市住房保障和房屋管理局, 世博村路300号
区县住房保障中心名录, 机构团体, 住房保障中心名录, 房地产, 业务类, 2012-12-14, 上海市住房保障和房屋管理局, 世博村路300号
区（县）房管部门名录, 机构团体, 房管部门名录, 房地产, 业务类, 2012-12-14, 上海市住房保障和房屋管理局, 世博村路300号
就业促进中心相关信息, 社会发展, 机构名称、地址，联系电话、服务时间、附近交通, 劳动人事综合类, 其他类, 2015-01-19, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
上海旅游名牌产品名录, 文化休闲, 旅游名牌产品, 旅游, 其他类, 2015-01-16, 上海市旅游局, 大沽路100号10楼
上海旅游行业管理机构, 机构团体, 旅游行业管理机构, 旅游, 业务类, 2015-01-16, 上海市旅游局, 大沽路100号10楼
上海市A级景区名单, 文化休闲, 旅游，A级景区, 旅游, 业务类, 2015-01-16, 上海市旅游局, 大沽路100号10楼
上海市星级饭店名单, 文化休闲, 旅游，星级饭店, 旅游, 业务类, 2015-01-16, 上海市旅游局, 上海市大沽路100号10楼
上海市领队人员名单, 文化休闲, 旅游，领队, 旅游, 业务类, 2015-01-16, 上海市旅游局, 大沽路100号10楼
上海市导游人员名单, 文化休闲, 旅游，导游, 旅游, 业务类, 2015-01-16, 上海市旅游局, 上海市大沽路100号10楼
上海市旅行社名单, 文化休闲, 旅行社，名称，许可证号，地址，电话，等级, 旅游, 业务类, 2015-01-16, 上海市旅游局, 大沽路100号10楼
质监局机构信息, 机构团体, 质监机构, 机构编制, 机构职能, 2015-01-14, 上海市质量技术监督局, 宜山路728号
许可执业人员获证信息, 经济建设, 作业人员, 检验、检疫, 业务类, 2015-01-14, 上海市质量技术监督局, 宜山路728号
检验检测机构信息, 机构团体, 检测机构、检验机构, 检验、检疫, 业务类, 2015-01-14, 上海市质量技术监督局, 宜山路728号
停车场（库、位）, 道路交通, 上海停车场（库、位）的备案证号、地址、核定收费标准、时间、电话, 交通运输, 业务类, 2015-01-13, 上海市交通委员会, 上海市黄浦区中山南路1155号
停车场静态信息, 道路交通, 停车场核定收费标准、营业时间、联系电话、车位数、停车场性质、入口地址、出口地址, 交通运输, 业务类, 2015-01-13, 上海市交通委员会, 上海市黄浦区中山南路1155号
自然保护区, 民生服务, 自然保护区, 土地, 业务类, 2015-01-13, 上海市绿化和市容管理局, 上海市铜仁路331号
湿地, 民生服务, 湿地, 水资源, 业务类, 2015-01-13, 上海市绿化和市容管理局, 上海市铜仁路331号
车辆清洗点, 民生服务, 车辆清洗点, 综合类, 业务类, 2015-01-13, 上海市绿化和市容管理局, 铜仁路331号
车辆统计信息, 道路交通, 公交、出租、驾培、客运、货运信息的车辆总数, 交通运输, 业务类, 2015-01-13, 上海市交通委员会, 上海市黄浦区中山南路1155号
机动车维修企业, 民生服务, 机动车维修的企业名称、经营地址、经营范围、联系电话, 交通运输, 业务类, 2015-01-13, 上海市交通委员会, 上海市黄浦区中山南路1155号
烈士陵园, 民生服务, 烈士陵园, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
上海市文化产业园区情况一览表, 文化休闲, 文化，产业园区, 文体综合类, 机构职能, 2014-12-31, 上海市文化广播影视管理局, 上海市四川中路276号
上海市各类演出场所情况一览表, 文化休闲, 演出，场所, 文学艺术, 业务类, 2014-12-31, 上海市文化广播影视管理局, 上海市四川中路276号
上海各区县受理窗口情况一览表（文化）, 文化休闲, 行政审批受理, 文体综合类, 机构职能, 2014-12-31, 上海市文化广播影视管理局, 上海市四川中路276号
上海市电影院情况一览表, 文化休闲, 电影院, 广播、电影、电视, 业务类, 2014-12-31, 上海市文化广播影视管理局, 上海市四川中路276号
上海各类博物馆情况一览表, 文化休闲, 博物馆, 文物、考古, 业务类, 2014-12-31, 上海市文化广播影视管理局, 上海市四川中路276号
精神卫生中心, 卫生健康, 精神卫生中心, 民政, 业务类, 2014-12-31, 上海市民政局, 上海市浦东新区世博村路300号6号楼
骨灰堂, 民生服务, 骨灰堂, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
殡仪馆, 民生服务, 殡仪馆, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
社区事务受理中心, 机构团体, 社区事务受理中心, 民政, 业务类, 2014-12-31, 上海市民政局, 上海市浦东新区世博村路300号6号楼
宗教场所, 民生服务, 宗教场所, 综合类, 业务类, 2014-12-30, 上海市民族和宗教事务委员会, 上海市世博村路300号
经常性社会救助接收点, 民生服务, 经常性社会救助接收点, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
慈善超市, 民生服务, 慈善超市, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
海葬服务机构, 民生服务, 海葬, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
殡葬服务代理机构, 民生服务, 殡葬服务代理机构, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
公墓, 民生服务, 公墓, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
婚姻登记机构, 机构团体, 婚姻登记, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
救助管理站, 民生服务, 救助管理站, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
慈善救助服务社, 民生服务, 慈善救助服务社, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
上海市养老机构, 民生服务, 养老机构, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村300号6号楼
社会救助管理机构, 机构团体, 社会救助, 民政, 业务类, 2014-12-29, 上海市民政局, 上海市浦东新区世博村路300号6号楼
出入境受理点, 机构团体, 出入境受理点, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
居民身份证拍照点, 民生服务, 居民身份证拍照点, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
车管所, 道路交通, 车管所, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
部分农贸市场及超市主要肉蛋鱼价格, 民生服务, 肉、鸡蛋、花鲢鱼、鲫鱼, 物价, 2014-12-02, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
部分超市主要粮油品种价格, 民生服务, 粮油品种价格, 物价, 2014-12-02, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
生猪玉米价格, 民生服务, 猪肉价格、玉米价格, 物价, 2014-12-02, 上海市发展和改革委员会, 上海市黄浦区人民大道200号
上海市社区卫生服务中心基本信息, 卫生健康, 社区卫生, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
经许可开展婚前医学检查的医疗机构, 卫生健康, 婚前医学检查, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
医疗急救机构, 卫生健康, 医疗急救, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市职业健康检查机构, 卫生健康, 职业健康, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市职业病诊断机构, 卫生健康, 职业病, 医疗保健, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市职业病鉴定办事机构, 卫生健康, 职业病, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市卫生监督机构, 机构团体, 卫生监督, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市公共场所卫生技术服务机构, 卫生健康, 公共场所, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市放射卫生技术服务机构, 卫生健康, 放射卫生, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市从业人员预防性健康检查机构, 卫生健康, 健康检查, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市犬伤门诊基本信息, 卫生健康, 犬伤, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市结核病定点医院, 卫生健康, 结核病, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市接种门诊信息, 卫生健康, 接种门诊, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市艾滋病自愿免费咨询检测点, 卫生健康, 艾滋病, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市、区县眼病防治机构, 卫生健康, 眼病防治, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市、区县牙病防治机构, 卫生健康, 牙病防治, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市、区县疾病预防控制机构, 卫生健康, 疾病预防控制, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
本市道路主要管理措施, 道路交通, 本市道路主要管理措施, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
外环线以内区域机动车道路停车场, 道路交通, 外环线以内区域机动车道路停车场, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
摄像头设置地点, 道路交通, 道路摄像头设置地点, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
交通事故理赔中心, 机构团体, 交通事故理赔中心, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
交通事故自行协商处理便民服务点高架道路&ldquo;便民服务箱&rdquo;位置分布, 道路交通, 交通事故，自行协商，处理服务点, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
交通管理与服务机构, 机构团体, 交通管理与服务机构, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
机动车违法受理点, 机构团体, 机动车违法受理点, 公安, 业务类, 2014-11-24, 上海市公安局, 上海市武宁南路
上海市校外教育机构名单, 教育科技, 青少年，活动中心，联系方式，特色教育, 教育, 业务类, 2014-11-10, 上海市教育委员会, 上海市黄浦区大沽路100号
节能服务机构, 资源环境, 机构名称、地址、服务时间、联系电话, 工业, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
产业结构调整市重点项目, 经济建设, 产业名称、地址、所属行业、占地面积、调整方式, 企业, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
上海市教育管理与服务机构名单, 教育科技, 教育，事业单位, 教育, 业务类, 2014-11-05, 上海市教育委员会, 上海市黄浦区大沽路100号
上海市学前教育机构名单, 教育科技, 幼儿园，联系方式, 教育, 业务类, 2014-11-05, 上海市教育委员会, 上海市黄浦区大沽路100号
上海市职业教育机构名单, 教育科技, 中职校，联系方式, 教育, 业务类, 2014-11-05, 上海市教育委员会, 上海市黄浦区大沽路100号
学生体质健康监测中心名单, 卫生健康, 学生，体质健康, 教育, 业务类, 2014-11-05, 上海市教育委员会, 上海市黄浦区大沽路100号
派出所基本情况, 公共安全, 派出所, , 2013-06-28, 上海市公安局, 武宁南路128号
上海服务外包示范区基本情况, 经济建设, 服务外包、示范区, 商贸综合类, 业务类, 2012-12-07, 上海市商务委员会, 娄山关路55号
上海全社会固定资产投按经济类型分, 经济建设, 按经济类型分的固定资产投资, 统计, 业务类, 2012-12-04, 上海市统计局, 上海市威海路48号
全市机动车维修行业统计, 道路交通, 全市机动车维修行业统计, 交通运输, 业务类, 2012-11-28, 上海市交通运输和港口管理局, 大沽路100号
全市公共停车场库经营统计, 道路交通, 全市公共停车场库经营统计, 交通运输, 业务类, 2012-11-28, 上海市交通运输和港口管理局, 大沽路100号
全市营运交通工具统计, 道路交通, 全市范围内各类营运交通工具统计数据, 交通运输, 业务类, 2012-11-28, 上海市交通运输和港口管理局, 大沽路100号
全市营运交通线路统计, 道路交通, 全市营运交通线路统计, 交通运输, 业务类, 2012-11-28, 上海市交通运输和港口管理局, 大沽路100号
国内航运企业名录, 道路交通, 全市国内航运企业名称等信息, 交通运输, 业务类, 2012-11-28, 上海市交通运输和港口管理局, 大沽路100号
港口经营企业名录, 道路交通, 全市（不含区县）港口经营企业名称, 交通运输, 业务类, 2012-11-28, 上海市交通运输和港口管理局, 大沽路100号
